Date,Customers,Advertising_Spend,Discount_Percent,Temperature,Holiday,Sales
2022-01-01,226,1100.04,10,18.6,0,10529.92
2022-01-02,284,4568.72,0,20.9,0,13821.81
2022-01-03,284,3021.42,0,20.9,0,12783.15
2022-01-04,233,2112.76,0,22.2,0,11214.61
2022-01-05,272,1621.92,10,18.5,0,11564.08
2022-01-06,296,3414.9,0,22.4,0,13176.71
2022-01-07,278,1315.2,10,23.2,0,11869.43
2022-01-08,212,1769.15,0,18.6,0,10452.64
2022-01-09,306,4421.27,0,20.8,0,14449.19
2022-01-10,258,2480.72,5,22.7,0,12167.85
2022-01-11,314,3916.51,5,21.7,0,14696.37
2022-01-12,299,3227.8,10,24.1,0,13575.33
2022-01-13,343,2261.81,10,19.6,1,14386.41
2022-01-14,357,3621.75,15,24.7,0,15147.34
2022-01-15,381,3979.96,20,21.1,0,16178.14
2022-01-16,243,2447.99,5,22.8,0,11836.86
2022-01-17,255,1611.37,5,24.6,0,11324.36
2022-01-18,356,3383.55,15,23.2,0,15346.02
2022-01-19,417,3882.89,20,24.7,1,17168.97
2022-01-20,295,2814.89,10,26.2,0,13299.53
2022-01-21,354,3501.2,20,24.2,0,15349.03
2022-01-22,407,4814.0,20,26.2,0,17334.77
2022-01-23,381,4716.39,10,22.3,1,17161.32
2022-01-24,294,1342.61,15,25.9,0,12336.69
2022-01-25,360,2901.13,20,22.2,0,15216.4
2022-01-26,307,1847.19,20,25.9,0,13218.24
2022-01-27,343,3686.75,10,24.1,0,14915.05
2022-01-28,211,1256.1,0,25.2,0,9983.71
2022-01-29,301,3831.36,0,23.2,1,14464.25
2022-01-30,271,1952.02,15,23.2,0,12326.15
2022-01-31,305,3304.85,5,26.8,0,13506.01
2022-02-01,304,2724.2,15,24.7,0,13705.28
2022-02-02,267,1393.67,15,26.7,0,11587.06
2022-02-03,332,2794.45,15,23.6,0,14018.53
2022-02-04,357,2772.52,20,23.3,0,15025.6
2022-02-05,337,4705.47,5,23.8,0,15397.54
2022-02-06,327,4609.77,5,25.2,0,15001.79
2022-02-07,339,2820.03,15,27.3,0,14415.11
2022-02-08,269,1759.59,5,29.0,0,11795.11
2022-02-09,259,2254.42,0,26.9,0,11945.73
2022-02-10,287,1227.52,20,24.0,0,11915.08
2022-02-11,389,4447.28,15,24.3,0,16530.56
2022-02-12,345,3477.53,15,27.7,0,14911.81
2022-02-13,264,1817.04,10,25.3,0,11499.3
2022-02-14,283,2828.9,0,24.1,0,12942.6
2022-02-15,226,1293.04,5,27.2,0,10720.29
2022-02-16,363,4517.08,10,25.9,0,16253.3
2022-02-17,378,3446.71,20,24.4,0,15689.43
2022-02-18,328,4755.72,5,26.1,0,15558.44
2022-02-19,241,2127.03,5,28.9,0,11473.75
2022-02-20,278,3021.64,10,30.1,0,12812.86
2022-02-21,231,2106.72,0,26.8,0,11140.4
2022-02-22,393,3964.92,20,29.1,0,16252.39
2022-02-23,338,4532.43,5,28.3,0,15441.93
2022-02-24,247,1509.78,10,27.3,0,11498.48
2022-02-25,254,1998.12,0,27.3,0,11605.19
2022-02-26,284,3482.65,5,30.9,0,13574.63
2022-02-27,353,4243.09,15,25.6,0,15901.77
2022-02-28,296,3679.63,5,27.1,0,13798.83
2022-03-01,335,2882.76,5,30.5,1,14264.0
2022-03-02,326,4485.29,5,25.8,0,15073.64
2022-03-03,270,1277.68,10,27.9,0,11404.6
